Strain,Type,Rating,Effects,Flavor,Description
Durban-Berry,hybrid,4.6,"Focused,Relaxed,Happy,Creative,Uplifted","Pine,Citrus,Lemon","Durban Berry is a hybrid cannabis strain that harnesses the vitalizing sativa power of Durban Poison counterbalanced by the mellow indica qualities of Rocky Mountain Blueberry. Taking after her Durban Poison parent, Durban Berry delivers a functional and upbeat high that allows creativity to flow freely. A pungent lemon and berry aroma erupts from the fluffly buds while tangy citrus flavors awaken on the exhale."
Durban-Cheese,hybrid,4.2,"Hungry,Euphoric,Uplifted,Giggly,Relaxed","Blue,Cheese,Cheese,Earthy","Durban Cheese is a potent hybrid of Durban Poison and Cheese and provides the balanced effects of its indica and sativa parentage. Its aroma is described as a surprisingly appetizing blend of lemon and cheese. A suitable strain for stress and mild pain relief, Durban Cheese is a great all-around choice."
Durban-Cookies,sativa,4.5,"Happy,Uplifted,Euphoric,Relaxed,Hungry","Sweet,Earthy,Woody","Durban Cookies is the Durban Poison-dominant phenotype of Girl Scout Cookies. Known for its invigorating mental energy and medical-grade body buzz, Durban Cookies offers a more energizing experience with powerful pain relieving qualities, making this sativa-dominant strain a top choice for patients treating aches throughout the day."
Durban-Poison,sativa,4.4,"Energetic,Happy,Uplifted,Euphoric,Focused","Earthy,Sweet,Pine","This pure sativa originates from the South African port city of Durban. It has gained notoriety worldwide for its sweet smell and energetic, uplifting effects. Durban Poison is the perfect strain to help you stay productive through a busy day, when exploring the outdoors, or to lend a spark of creativity. Growers and concentrate enthusiasts will both enjoy the over-sized resin glands which make this strain a quality choice for concentrate extraction. The buds are round and chunky, and leave a thick coating of trichomes on almost all areas of the plant."
Durga-Mata,indica,4.9,"Relaxed,Happy,Giggly,Uplifted,Creative","Minty,Earthy,Citrus","Durga Mata, bred by Paradise Seeds, is an indica-driven strain. Despite being 90% indica, it acts unlike other predominately indica strains. With flavors best described as reminiscent of Turkish Delight, it offers a long-lasting relaxing body buzz without the couch potato effect. This strain has a natural resistance to pests and survives through rough treatment, which makes it a recommended choice for beginners and outdoor growers."
Dutch-Crunch,hybrid,4.2,"Tingly,Focused,Hungry,Relaxed,Aroused","Spicy/Herbal,Pepper,Citrus","Dutch Crunch is an intercontinental hybrid bringing the Netherlands and America a little closer together. This wonderfully aromatic strain is created by crossing Jack Herer with Dutch Treat, resulting in a stimulating hybrid cross of zestful genetics. Expressing bright citrus notes and traditional Dutchy aromas, Dutch Crunch is an uplifting cross that may assist with migraines, stress, and ADD.   "
Dutch-Dragon,sativa,4.5,"Euphoric,Relaxed,Happy,Creative,Focused","Citrus,Sweet,Mint","Dutch Dragon is a sativa variety bred by Paradise Seeds.  She loves warmer climates and can grow as high as 9 feet tall outside so make sure you have ample vertical room."
Dutch-Hawaiian,sativa,4.3,"Happy,Relaxed,Uplifted,Euphoric,Energetic","Citrus,Sweet,Tropical","Dutch Hawaiian is a sativa strain that is lime green in color. With a citrus taste, this strain provides a good body high. "
Dutch-Haze,sativa,4,"Relaxed,Energetic,Creative,Happy,Aroused","Citrus,Earthy","Dutch Haze by Dutch Passion is a 90% sativa-dominant strain crafted for Haze lovers everywhere. “Born” in 2009, Dutch Haze is the product of hundreds of Haze plants and several years of breeding both American Haze and Dutch Haze genetics in search of the perfect phenotype. This strain has a spicy aroma with notes of citrus, earth, and tropical fruit. The stalks grow tall and abundant with an average flowering time of approximately 10 weeks. Dutch Haze offers consumers a strong cerebral energy with uplifting and creative qualities to help take the edge off of mundane tasks while improving your mood."
Dutch-Kush,indica,3.9,"Hungry,Relaxed,Sleepy,Giggly,Creative","Coffee,Berry,Flowery","Dutch Kush is a fully sedative indica developed by Paradise Seeds of Amsterdam. This traditional Kush plant grows strong and fast with earthy notes that mature and gain depth over the curing process. Dried, this bud smells of coffee beans and caramelized sugar while retaining a pungent floral undertone. Enjoy this strain later in the day to capitalize on the sleepy body and mood enhancing mental buzz nestled beneath the frosted flora of this Kush variety. "
Dutch-Queen,hybrid,4.4,"Happy,Relaxed,Tingly,Talkative,Euphoric","Sweet,Earthy,Pungent","Dutch Queen is a hybrid strain bred by Buddy Boy Farms in Washington. A cross between Dutch Treat and Space Queen, Dutch Queen inherits a sweet pine aroma with subtle fruity highlights. The sativa in her promises a light, uplifting euphoria that helps you find energy and focus. Replacing stress with a sense of elevated bliss, Dutch Queen is perfect for unwinding or unraveling bad moods any time of the day. "
Dutch-Thunder-Fuck,hybrid,4.9,"Uplifted,Euphoric,Talkative,Relaxed,Creative","Earthy,Citrus,Lemon","Dutch Thunder Fuck by Sirius Buds is a sativa-dominant hybrid strain that combines genetics from an award-winning cut of Dutch Treat and the illustrious Matanuska Thunder Fuck. Taking after its Dutch Treat parent in structure and aroma, these round bulky buds carry a strong citrus aroma with sharp minty pine undertones. Its relaxing body effects leave the mind unencumbered and soaring with euphoric inspiration. "
Dutch-Treat,hybrid,4.3,"Relaxed,Happy,Euphoric,Uplifted,Focused","Sweet,Pine,Earthy","Over the years, Dutch Treat has become an essential strain of the Amsterdam coffee shops. The dense, sticky buds have an intense smell of sweet fruits mixed with pine and eucalyptus trees. The cerebral high comes on quick and leaves consumers feeling uplifted and euphoric while reducing stress and relaxing the mind."
Dutch-Treat-Haze,hybrid,4.5,"Happy,Uplifted,Relaxed,Euphoric,Energetic","Earthy,Citrus,Berry","Two superstars from the Dutch cannabis scene mingle together to rejuvenate genetics from decades passed into an intriguing hybrid that gained popularity in Colorado’s medical market for being both potent and flavorful. Dutch Treat Haze has a complex but undoubtable Haze aroma of pungent earthy tones from Super Silver Haze with the influence of Dutch Treat’s crisp, fruity, and floral flavors to create a captivating sativa-dominant hybrid. Its heady sativa effects are felt almost immediately with an energetic burst of creativity and sociability that uplift your mood and stimulate the appetite. "
Dutchberry,hybrid,4.5,"Happy,Uplifted,Energetic,Relaxed,Creative","Berry,Sweet,Orange","Dutchberry is a 60/40 sativa-dominant hybrid strain from Artizen Cannabis in Lacey, WA. Combining Dutch Treat and DJ Short’s Blueberry, this hybrid is loaded with citrus and berry flavors that taste as good as it smells. With a chemical profile that falls around 27% THC and 8% CBD, Dutchberry has one of the highest cannabinoid contents available in the marketplace today. The high CBD content helps modify the extreme THC content to produce a happy, giggly high perfect for unwinding after a long day at work."
Dynamite,indica,4.4,"Relaxed,Euphoric,Happy,Hungry,Sleepy","Citrus,Grapefruit,Earthy","Dynamite is a short and bushy indica strain that offers an aroma of sweet grapefruit and mixed fruit. Heavy physical effects weigh down the limbs and relax muscles, but Dynamite provides the mind with an invigorating spark to fuel creativity and conversation. The subtle, sweet aroma of grapefruit and mixed fruit breaks free from the bud when ground up. A quick finisher, Dynamite completes its flowering cycle in 7 to 8 weeks, yielding a heavy harvest of buds that may bloom in stunning hues of purple and pink."
Early-Girl,indica,3.8,"Relaxed,Happy,Hungry,Uplifted,Talkative","Citrus,Earthy,Pine","Early Girl is the wallflower of cannabis strains since its introduction in the 1980s. Lovingly preserved by the breeders at Sensi Seeds, this strain is lazy and relaxed, nothing over the top. A 75/25 indica-dominant hybrid, Early Girl is a good one for those new to cannabis who would like relief from stress. Also a great strain for novice growers, it's compact, resilient, and has a particularly short flowering time of 7 to 8 weeks. Early Girl grows especially well outdoors, but won’t put up a fuss if she’s stuck inside. "
Early-Miss,hybrid,3.9,"Creative,Euphoric,Relaxed,Aroused,Talkative","Pepper,Ammonia,Spicy/Herbal","An auto-flowering indica-dominant hybrid, Early Miss is a great strain for those looking for pain relief or an appetite boost. Crop King Seeds took the heavy producer Big Bud and paired it with the hard-hitting White Widow to make a moderate yielding plant with high levels of THC, and then crossed it with an auto-flowering ruderalis variety. Flowering in 50 days, this hybrid is a quick and easy grow that will not leave you disappointed."
Early-Pearl,sativa,3.9,"Relaxed,Hungry,Euphoric,Focused,Talkative","Sweet,Earthy,Tea","Early Pearl is a sativa bred by Sensi Seeds. These sturdy buds have the solidity of an indica, making them great breeders for adding toughness and stability to offspring. Alternatively, effects are notably sativa with an unmistakable vibrance and vigor optimal for daytime use. Heavy yields can be achieved indoors and outdoors, with a flowering time around 9 weeks."
Early-Skunk,hybrid,4.1,"Relaxed,Uplifted,Hungry,Happy,Energetic","Flowery,Skunk,Earthy","Cannabis Cup winner Early Skunk is an indica-dominant hybrid cross between Skunk #1 and Early Pearl. This easy-to-grow strain is favored for its short flowering period, resistance to mold, and heavy yields, making it ideal for a novice grower. Expect large harvests of large buds that deliver a long-lasting, smooth, pungently sweet taste and smell. "
Earth-Og,hybrid,4.2,"Relaxed,Sleepy,Hungry,Happy,Creative","Earthy,Spicy/Herbal,Pine","A combination of Sour Diesel and Ghost OG, Earth OG is a cerebrally-focused hybrid with stimulating and happy effects. As its name suggests, this strain has a pleasant, earthy aroma with sour lemon undertones. Earth OG effects are enjoyable for introverts and extroverts alike: an introspective, creative buzz makes this strain good for solo sessions, but social environments may also bring out its energetic, talkative qualities. Depression, stress, and anxiety stand little chance against Earth OG’s uplifted mindset, and patients treating appetite loss and nausea may also benefit from its potent therapeutic effects."
Earthquake,hybrid,4.5,"Creative,Euphoric,Uplifted,Happy,Energetic","Woody,Pine,Earthy",""
Earthshaker-Og,hybrid,4.4,"Happy,Euphoric,Aroused,Creative,Energetic","Earthy","Earthshaker OG, also known as P.O. #3, is a variety of OG Kush from Progressive Options Genetics. The powerful sativa-dominant effects are known to sneak up on you with a smooth and lengthy buzz. The buds express themselves in deep shades of green and smell like a mix of skunk and sharp cheese. The flavors produced by Earthshaker OG are earthy and hashy with sweet notes of citrus and lemongrass."
